label,n,w,wr,pnl,pf,mdd,avg_monthly
MACD+VOL5,122,58,47.540983606557376,1177.5,1.1965776293823038,-1075.0,294.375
MACD_GC,23,11,47.82608695652174,595.0,1.6071428571428572,-200.0,198.33333333333334
MACD_GC+VWAP,23,11,47.82608695652174,595.0,1.6071428571428572,-200.0,198.33333333333334
MACD_GC+ATR,23,11,47.82608695652174,595.0,1.6071428571428572,-200.0,198.33333333333334
MACD+VWAP+VOL,114,53,46.49122807017544,705.0,1.1219723183391004,-1150.0,176.25
MACD+MA_CROSS+VOL,110,50,45.45454545454545,702.5,1.1256708407871199,-950.0,175.625
MACD_GC+VOL5,18,9,50.0,525.0,1.7291666666666667,-200.0,175.0
MA_CROSS+VOL5,139,63,45.32374100719424,687.5,1.0984957020057307,-850.0,171.875
MACD_GC+MA_CROSS,21,10,47.61904761904761,507.5,1.5767045454545454,-360.0,169.16666666666666
MACD+MACD_GC,22,10,45.45454545454545,407.5,1.4158163265306123,-360.0,135.83333333333334
RSI+MA_CROSS,90,41,45.55555555555556,405.0,1.0910112359550561,-995.0,101.25
MACD_GC+VOL,17,8,47.05882352941176,270.0,1.3333333333333333,-200.0,90.0
MACD+VOL,120,54,45.0,327.5,1.0521496815286624,-1527.5,81.875
VWAP+VOL5,148,66,44.5945945945946,207.5,1.026948051948052,-1362.5,51.875
RSI+MACD_GC,16,7,43.75,145.0,1.213235294117647,-470.0,48.333333333333336
出来高2本+5本,142,64,45.07042253521127,160.0,1.0214765100671142,-1335.0,40.0
VOL+VOL5,142,64,45.07042253521127,160.0,1.0214765100671142,-1335.0,40.0
MA_CROSS+VOL,137,60,43.79562043795621,125.0,1.017409470752089,-1112.5,31.25
MACD+MA_CROSS,152,66,43.42105263157895,122.5,1.0153125,-1032.5,30.625
VWAP+MA_CROSS+VOL,134,58,43.28358208955223,90.0,1.0127118644067796,-1147.5,22.5
RSI+MA_CROSS+VOL,67,30,44.776119402985074,57.5,1.0165706051873198,-825.0,14.375
RSI+MACD+MA_CROSS,65,28,43.07692307692308,52.5,1.0157657657657657,-1057.5,13.125
VOL5,156,69,44.230769230769226,50.0,1.0061199510403918,-1407.5,12.5
ATR+VOL5,156,69,44.230769230769226,50.0,1.0061199510403918,-1407.5,12.5
VWAP+STOCH+VOL,18,9,50.0,45.0,1.05,-500.0,11.25
RSI+VWAP+MA_CROSS,86,37,43.02325581395349,2.5,1.000561797752809,-1062.5,0.625
VWAP+VOL,143,63,44.05594405594406,-35.0,0.9953764861294584,-1457.5,-8.75
RSI+ATR,111,50,45.04504504504504,-35.0,0.9939446366782007,-1352.5,-8.75
RSI,111,50,45.04504504504504,-35.0,0.9939446366782007,-1352.5,-8.75
RSI+VWAP,98,44,44.89795918367347,-82.5,0.9836309523809523,-1307.5,-20.625
MACD,164,72,43.90243902439025,-97.5,0.988831615120275,-1577.5,-24.375
MACD+ATR,164,72,43.90243902439025,-97.5,0.988831615120275,-1577.5,-24.375
MACD+VWAP+MA_CROSS,150,64,42.66666666666667,-110.0,0.9863013698630136,-1197.5,-27.5
RSI+BB+STOCH,9,4,44.44444444444444,-120.0,0.76,-500.0,-40.0
出来高のみ,152,67,44.07894736842105,-160.0,0.9801734820322181,-1635.0,-40.0
BB,9,4,44.44444444444444,-120.0,0.76,-500.0,-40.0
ATR+VOL,152,67,44.07894736842105,-160.0,0.9801734820322181,-1635.0,-40.0
RSI+BB,9,4,44.44444444444444,-120.0,0.76,-500.0,-40.0
VOL,152,67,44.07894736842105,-160.0,0.9801734820322181,-1635.0,-40.0
BB+ATR,9,4,44.44444444444444,-120.0,0.76,-500.0,-40.0
BB+STOCH,9,4,44.44444444444444,-120.0,0.76,-500.0,-40.0
RSI+MACD,77,34,44.15584415584416,-167.5,0.958743842364532,-1515.0,-41.875
RSI+VWAP+VOL,74,33,44.5945945945946,-202.5,0.9488636363636364,-1257.5,-50.625
RSI+STOCH+VOL,25,11,44.0,-215.0,0.8464285714285714,-727.5,-53.75
STOCH+VOL,25,11,44.0,-215.0,0.8464285714285714,-727.5,-53.75
RSI+VOL,82,37,45.1219512195122,-227.5,0.9478211009174312,-1340.0,-56.875
RSI+VWAP+STOCH,31,15,48.38709677419355,-280.0,0.8205128205128205,-842.5,-70.0
MACD+VWAP,158,68,43.037974683544306,-285.0,0.9665492957746479,-1522.5,-71.25
MA_CROSS+STOCH+VOL,11,4,36.36363636363637,-227.5,0.675,-600.0,-75.83333333333333
VWAP+STOCH,32,15,46.875,-320.0,0.8,-882.5,-80.0
RSI+MACD+VOL,61,26,42.62295081967213,-320.0,0.9044776119402985,-1595.0,-80.0
RSI+MACD+VWAP,71,30,42.25352112676056,-325.0,0.9149214659685864,-1430.0,-81.25
RSI+MA_CROSS+STOCH,20,9,45.0,-380.0,0.6415094339622641,-655.0,-95.0
VWAP+MA_CROSS+STOCH,19,8,42.10526315789473,-332.5,0.6675,-647.5,-110.83333333333333
RSI+VOL5,81,35,43.20987654320987,-487.5,0.8881880733944955,-1635.0,-121.875
MA_CROSS+STOCH,22,9,40.909090909090914,-520.0,0.5666666666666667,-795.0,-130.0
MACD+STOCH+VOL,15,5,33.33333333333333,-527.5,0.4725,-850.0,-131.875
STOCH+VOL5,27,10,37.03703703703704,-577.5,0.6602941176470588,-967.5,-144.375
MA_CROSS,191,81,42.40837696335078,-580.0,0.9431372549019608,-1735.0,-145.0
MA_CROSS+ATR,191,81,42.40837696335078,-580.0,0.9431372549019608,-1735.0,-145.0
MACD+MA_CROSS+STOCH,12,4,33.33333333333333,-437.5,0.375,-565.0,-145.83333333333334
MACD+VWAP+STOCH,18,6,33.33333333333333,-615.0,0.4409090909090909,-917.5,-153.75
RSI+MACD+STOCH,23,9,39.130434782608695,-707.5,0.49464285714285716,-1112.5,-176.875
MACD+STOCH,24,9,37.5,-747.5,0.4809027777777778,-1152.5,-186.875
RSI+STOCH,43,18,41.86046511627907,-822.5,0.671,-1217.5,-205.625
VWAP+MA_CROSS,186,77,41.39784946236559,-912.5,0.9099210266535045,-1702.5,-228.125
STOCH,45,18,40.0,-962.5,0.6354166666666666,-1357.5,-240.625
ATR+STOCH,45,18,40.0,-962.5,0.6354166666666666,-1357.5,-240.625
VWAP+ATR,199,84,42.211055276381906,-1097.5,0.8985674676524954,-1847.5,-274.375
VWAP,199,84,42.211055276381906,-1097.5,0.8985674676524954,-1847.5,-274.375
ベースライン（フィルターなし）,213,90,42.25352112676056,-1120.0,0.9036973344797936,-2115.0,-280.0
ATR,213,90,42.25352112676056,-1120.0,0.9036973344797936,-2115.0,-280.0
