datetime,year,month,hour,pnl
2023-07-28 12:25:00,2023,7,12,-62.2
2024-01-12 00:00:00,2024,1,0,87.8
2024-02-14 16:30:00,2024,2,16,-62.2
2024-05-30 16:30:00,2024,5,16,-62.2
2024-06-03 00:00:00,2024,6,0,-62.2
2024-07-18 16:30:00,2024,7,16,117.8
2024-07-31 14:40:00,2024,7,14,-62.2
2024-08-05 11:45:00,2024,8,11,-62.2
2024-08-05 16:30:00,2024,8,16,-62.2
2024-08-06 22:45:00,2024,8,22,117.8
2024-08-06 23:00:00,2024,8,23,117.8
2024-08-07 10:40:00,2024,8,10,-62.2
2024-08-07 10:45:00,2024,8,10,117.8
2024-08-08 09:00:00,2024,8,9,117.8
2024-08-08 17:05:00,2024,8,17,-62.2
2024-08-13 08:45:00,2024,8,8,-62.2
2024-08-19 16:30:00,2024,8,16,-42.2
2024-09-09 21:25:00,2024,9,21,117.8
2024-09-13 16:30:00,2024,9,16,117.8
2024-10-02 16:30:00,2024,10,16,-62.2
2024-10-07 21:30:00,2024,10,21,-62.2
2024-10-08 16:30:00,2024,10,16,117.8
2024-10-28 09:05:00,2024,10,9,-62.2
2024-11-07 00:00:00,2024,11,0,-62.2
2024-11-13 17:00:00,2024,11,17,-62.2
2024-11-27 17:00:00,2024,11,17,57.8
2024-12-30 00:00:00,2024,12,0,77.8
2025-01-27 00:00:00,2025,1,0,17.8
2025-03-04 00:00:00,2025,3,0,117.8
2025-03-07 17:00:00,2025,3,17,62.8
2025-03-11 17:00:00,2025,3,17,77.8
2025-04-03 05:10:00,2025,4,5,-62.2
2025-04-03 17:00:00,2025,4,17,-62.2
2025-04-07 10:20:00,2025,4,10,117.8
2025-04-07 17:00:00,2025,4,17,-62.2
2025-04-07 22:55:00,2025,4,22,117.8
2025-04-08 08:45:00,2025,4,8,117.8
2025-04-08 19:00:00,2025,4,19,-62.2
2025-04-08 21:25:00,2025,4,21,117.8
2025-04-08 23:10:00,2025,4,23,-62.2
2025-04-09 09:10:00,2025,4,9,117.8
2025-04-09 17:00:00,2025,4,17,117.8
2025-04-10 02:15:00,2025,4,2,117.8
2025-04-10 02:40:00,2025,4,2,-62.2
2025-04-10 23:00:00,2025,4,23,117.8
2025-04-11 17:00:00,2025,4,17,-62.2
2025-04-14 08:45:00,2025,4,8,-62.2
2025-04-16 17:00:00,2025,4,17,-62.2
2025-04-24 00:00:00,2025,4,0,117.8
2025-05-07 08:45:00,2025,5,8,117.8
2025-05-15 17:00:00,2025,5,17,47.8
2025-05-29 08:45:00,2025,5,8,-62.2
2025-06-13 17:00:00,2025,6,17,-12.2
2025-07-23 08:45:00,2025,7,8,-62.2
2025-07-25 17:00:00,2025,7,17,-62.2
2025-09-01 17:00:00,2025,9,17,87.8
2025-09-08 08:45:00,2025,9,8,117.8
2025-10-01 17:00:00,2025,10,17,-7.2
2025-10-06 08:45:00,2025,10,8,117.8
2025-10-13 08:45:00,2025,10,8,-62.2
2025-10-14 09:00:00,2025,10,9,-62.2
2025-11-05 17:00:00,2025,11,17,117.8
2025-11-25 17:00:00,2025,11,17,-62.2
2026-01-07 17:00:00,2026,1,17,117.8
2026-01-12 00:00:00,2026,1,0,117.8
2026-01-28 15:00:00,2026,1,15,117.8
2026-02-09 08:45:00,2026,2,8,117.8
2026-03-03 17:00:00,2026,3,17,117.8
2026-03-04 17:00:00,2026,3,17,117.8
2026-03-09 17:00:00,2026,3,17,117.8
2026-03-25 23:50:00,2026,3,23,117.8
2026-03-27 05:10:00,2026,3,5,117.8
2026-03-30 17:00:00,2026,3,17,117.8
2026-03-31 09:45:00,2026,3,9,117.8
2026-04-01 01:40:00,2026,4,1,117.8
2026-04-02 21:40:00,2026,4,21,117.8
2026-04-03 23:35:00,2026,4,23,117.8
2026-04-16 23:15:00,2026,4,23,-62.2
