type,hour,n,win_rate,pnl_yen,pf
auto,0,2571,32.1,-124362.0,0.881
auto,1,2406,30.3,-99332.0,0.9
auto,2,2065,24.9,-55730.0,0.941
auto,3,2451,23.4,9228.0,1.008
auto,4,2571,23.8,53838.0,1.044
auto,5,2764,24.5,204292.0,1.158
auto,6,262,24.0,17886.0,1.145
auto,8,609,22.0,-1098.0,0.996
auto,9,3046,24.6,32338.0,1.023
auto,10,2892,25.9,-91874.0,0.93
auto,11,2657,22.7,-146254.0,0.884
auto,12,2485,22.0,-69020.0,0.943
auto,13,2873,20.0,-314656.0,0.779
auto,14,2936,22.4,-120992.0,0.914
auto,15,1731,30.7,257618.0,1.35
auto,16,443,31.8,-90546.0,0.477
auto,17,2572,28.5,-355484.0,0.67
auto,18,2481,37.5,231268.0,1.254
auto,19,2430,30.9,86140.0,1.085
auto,20,2624,25.5,184072.0,1.152
auto,21,2835,24.9,135780.0,1.104
auto,22,3048,23.1,40444.0,1.028
auto,23,3044,28.2,439132.0,1.326
strict,0,2325,36.3,-3900.0,0.992
strict,1,1004,32.7,-31788.0,0.853
strict,2,537,35.0,-3714.0,0.967
strict,3,1034,38.1,21652.0,1.105
strict,4,1495,36.1,3710.0,1.012
strict,5,1762,37.2,23036.0,1.065
strict,6,139,29.5,-7858.0,0.751
strict,8,500,41.6,26200.0,1.279
strict,9,2386,36.8,22808.0,1.047
strict,10,1783,37.5,27074.0,1.075
strict,11,1348,34.8,-12406.0,0.956
strict,12,1127,35.5,-3344.0,0.986
strict,13,1592,36.0,2626.0,1.008
strict,14,1671,32.6,-47562.0,0.869
strict,15,1015,36.4,4520.0,1.022
strict,16,288,34.0,-7736.0,0.874
strict,17,2076,26.1,-184472.0,0.626
strict,18,741,31.2,-31102.0,0.811
strict,19,597,32.5,-16534.0,0.871
strict,20,1111,32.0,-37342.0,0.846
strict,21,1882,33.8,-33604.0,0.916
strict,22,1959,34.8,-17448.0,0.957
strict,23,1990,30.9,-88230.0,0.8
