n,win_rate,pnl,pf,dir,macd,ma,vol,skip_10
259,30.115830115830118,2200,1.164179104477612,long,False,True,False,True
259,30.115830115830118,2200,1.164179104477612,long,False,True,False,False
388,29.896907216494846,1900,1.0892018779342723,long,False,False,False,False
388,29.896907216494846,1900,1.0892018779342723,long,False,False,False,True
167,32.33532934131736,800,1.08,short,True,False,True,True
167,32.33532934131736,800,1.08,short,True,False,True,False
220,28.636363636363637,900,1.0769230769230769,long,True,False,False,True
220,28.636363636363637,900,1.0769230769230769,long,True,False,False,False
195,31.794871794871792,800,1.0689655172413792,short,False,True,True,True
195,31.794871794871792,800,1.0689655172413792,short,False,True,True,False
212,28.30188679245283,700,1.0619469026548674,long,True,True,False,False
212,28.30188679245283,700,1.0619469026548674,long,True,True,False,True
160,28.125,500,1.0588235294117647,long,False,True,True,True
160,28.125,500,1.0588235294117647,long,False,True,True,False
152,31.57894736842105,500,1.054945054945055,short,True,True,True,False
152,31.57894736842105,500,1.054945054945055,short,True,True,True,True
222,28.82882882882883,600,1.0491803278688525,long,False,False,True,True
222,28.82882882882883,600,1.0491803278688525,long,False,False,True,False
132,28.030303030303028,300,1.0422535211267605,long,True,False,True,False
132,28.030303030303028,300,1.0422535211267605,long,True,False,True,True
126,26.984126984126984,0,1.0,long,True,True,True,True
126,26.984126984126984,0,1.0,long,True,True,True,False
282,30.49645390070922,-400,0.9772727272727273,short,False,True,False,False
282,30.49645390070922,-400,0.9772727272727273,short,False,True,False,True
254,29.92125984251969,-600,0.9620253164556962,short,False,False,True,True
254,29.92125984251969,-600,0.9620253164556962,short,False,False,True,False
251,29.880478087649404,-1000,0.9375,short,True,False,False,False
251,29.880478087649404,-1000,0.9375,short,True,False,False,True
227,29.074889867841406,-1300,0.9103448275862069,short,True,True,False,True
227,29.074889867841406,-1300,0.9103448275862069,short,True,True,False,False
381,28.608923884514436,-2900,0.8825910931174089,short,False,False,False,True
381,28.608923884514436,-2900,0.8825910931174089,short,False,False,False,False
