entry_time,pnl,result,month,cum_pnl,peak,dd
2023-08-11 00:45:00,28,TIME,2023-08,28,28,0
2023-08-11 00:50:00,-2,TIME,2023-08,26,28,-2
2023-08-11 00:55:00,-17,TIME,2023-08,9,28,-19
2023-12-07 00:25:00,-62,SL,2023-12,-53,28,-81
2023-12-20 00:30:00,-7,TIME,2023-12,-60,28,-88
2023-12-28 00:15:00,53,TIME,2023-12,-7,28,-35
2024-02-14 00:10:00,-62,SL,2024-02,-69,28,-97
2024-02-16 00:30:00,-62,SL,2024-02,-131,28,-159
2024-03-13 00:50:00,53,TIME,2024-03,-78,28,-106
2024-05-17 00:10:00,8,TIME,2024-05,-70,28,-98
2024-06-17 16:50:00,98,TP,2024-06,28,28,0
2024-06-17 17:00:00,-2,TIME,2024-06,26,28,-2
2024-07-18 16:40:00,-62,SL,2024-07,-36,28,-64
2024-08-01 16:45:00,98,TP,2024-08,62,62,0
2024-08-16 22:00:00,-62,SL,2024-08,0,62,-62
2024-09-27 14:05:00,-62,SL,2024-09,-62,62,-124
2024-10-16 09:35:00,-62,SL,2024-10,-124,62,-186
2024-10-16 17:05:00,13,TIME,2024-10,-111,62,-173
2024-12-03 09:40:00,-62,SL,2024-12,-173,62,-235
2024-12-04 00:20:00,98,TP,2024-12,-75,62,-137
2024-12-20 17:15:00,-62,SL,2024-12,-137,62,-199
2025-01-14 17:40:00,98,TP,2025-01,-39,62,-101
2025-01-21 00:25:00,-17,TIME,2025-01,-56,62,-118
2025-02-14 17:10:00,13,TIME,2025-02,-43,62,-105
2025-03-04 00:10:00,-62,SL,2025-03,-105,62,-167
2025-04-09 17:10:00,98,TP,2025-04,-7,62,-69
2025-04-24 00:25:00,98,TP,2025-04,91,91,0
2025-04-28 00:45:00,-62,SL,2025-04,29,91,-62
2025-05-02 01:00:00,-62,SL,2025-05,-33,91,-124
2025-05-22 17:40:00,-62,SL,2025-05,-95,91,-186
2025-06-19 17:20:00,98,TP,2025-06,3,91,-88
2025-07-22 09:30:00,98,TP,2025-07,101,101,0
2025-08-11 00:40:00,-62,SL,2025-08,39,101,-62
2025-08-18 00:45:00,-62,SL,2025-08,-23,101,-124
2025-08-29 00:25:00,-27,TIME,2025-08,-50,101,-151
2025-10-10 00:35:00,-62,SL,2025-10,-112,101,-213
2025-10-13 17:20:00,-62,SL,2025-10,-174,101,-275
2025-10-16 00:40:00,98,TP,2025-10,-76,101,-177
2025-10-16 00:45:00,98,TP,2025-10,22,101,-79
2025-10-23 17:10:00,98,TP,2025-10,120,120,0
2025-10-30 01:05:00,-62,SL,2025-10,58,120,-62
2025-11-03 01:05:00,3,TIME,2025-11,61,120,-59
2025-11-11 00:55:00,-62,SL,2025-11,-1,120,-121
2025-11-14 17:35:00,98,TP,2025-11,97,120,-23
2025-11-21 17:35:00,-62,SL,2025-11,35,120,-85
2025-11-21 18:00:00,-62,SL,2025-11,-27,120,-147
2026-01-12 00:10:00,-62,SL,2026-01,-89,120,-209
2026-01-12 00:35:00,98,TP,2026-01,9,120,-111
2026-01-12 00:45:00,-62,SL,2026-01,-53,120,-173
2026-01-26 17:20:00,98,TP,2026-01,45,120,-75
2026-01-26 17:25:00,98,TP,2026-01,143,143,0
2026-02-02 20:50:00,-62,SL,2026-02,81,143,-62
2026-02-20 17:35:00,98,TP,2026-02,179,179,0
2026-03-04 17:20:00,98,TP,2026-03,277,277,0
2026-03-06 09:25:00,98,TP,2026-03,375,375,0
2026-03-19 09:20:00,98,TP,2026-03,473,473,0
2026-03-27 23:05:00,-62,SL,2026-03,411,473,-62
