feature,down_mean,not_down_mean,diff_down_minus_not_down,down_count,not_down_count
high,42069.4946,39517.7675,2551.7271,44581,119324
open,42037.3555,39499.9448,2537.4107,44581,119324
close,42036.6286,39500.3575,2536.2711,44581,119324
low,42003.5782,39482.2086,2521.3696,44581,119324
volume,2896.35,1350.6439,1545.7061,44581,119324
is_bear,47.4754,42.6729,4.8025,44581,119324
low_break_1,23.7097,19.6666,4.043,44581,119324
low_break_2,18.555,14.7707,3.7843,44581,119324
low_break_3,15.6838,12.1769,3.5069,44581,119324
high_break_1,22.8102,21.8749,0.9353,44581,119324
high_break_2,17.6734,16.7879,0.8855,44581,119324
high_break_3,14.9458,14.1656,0.7802,44581,119324
is_bull,46.0106,45.3346,0.6761,44581,119324
vol_ratio20,1.267,0.9756,0.2914,44581,119324
vol_ratio5,1.0492,0.9929,0.0563,44581,119324
atr_ratio,1.0222,0.9871,0.035,44581,119324
bb_width,0.0094,0.006,0.0034,44581,119324
body_ratio,0.473,0.4697,0.0033,44581,119324
lower_wick_ratio,0.271,0.268,0.003,44581,119324
close_change_pct,-0.0013,0.0011,-0.0023,44581,119324
dist_ma5_pct,-0.0019,0.0015,-0.0034,44581,119324
roc3,-0.0018,0.0023,-0.0041,44581,119324
upper_wick_ratio,0.256,0.2623,-0.0063,44581,119324
roc5,-0.0035,0.004,-0.0075,44581,119324
dist_ma10_pct,-0.0046,0.0036,-0.0082,44581,119324
dist_ma20_pct,-0.0097,0.0077,-0.0175,44581,119324
dist_ma50_pct,-0.0212,0.0186,-0.0398,44581,119324
bb_pos,-0.0466,0.0797,-0.1263,44581,119324
gap_pct,-0.0654,0.1362,-0.2017,44581,119324
macd_hist,-0.1559,0.0536,-0.2095,44581,119324
ma50_slope,-0.3724,0.3025,-0.6749,44581,119324
ma5_slope,-0.411,0.3081,-0.7192,44581,119324
ma20_slope,-0.4304,0.3226,-0.753,44581,119324
ma10_slope,-0.5207,0.3551,-0.8758,44581,119324
close_change,-0.5503,0.3794,-0.9297,44581,119324
rsi14,49.5958,51.3457,-1.7499,44581,119324
stoch_d,50.3288,53.1863,-2.8575,44581,119324
stoch_k,50.152,53.2537,-3.1017,44581,119324
macd_signal,-2.6196,2.1256,-4.7451,44581,119324
macd,-2.7754,2.1792,-4.9547,44581,119324
cci20,-4.0312,6.6206,-10.6518,44581,119324
